fecha	valor	variacion
2017-08-31	827	-0.02934272300469487
2017-09-30	816	-0.013301088270858519
2017-10-31	821	0.006127450980392135
2017-11-30	796	-0.030450669914738104
2017-12-31	833	0.04648241206030157
2018-01-31	866	0.03961584633853543
2018-02-28	868	0.002309468822170979
2018-03-31	850	-0.020737327188940058
2018-04-30	846	-0.004705882352941226
2018-05-31	1009	0.19267139479905437
2018-06-30	1125	0.11496531219028738
2018-07-31	1037	-0.07822222222222219
2018-08-31	1345	0.29701060752169717
2018-09-30	1416	0.0527881040892193
2018-10-31	1174	-0.17090395480225984
2018-11-30	1193	0.016183986371379966
2018-12-31	1163	-0.025146689019279078
2019-01-31	1119	-0.03783319002579533
2019-02-28	1134	0.013404825737265424
2019-03-31	1204	0.06172839506172845
2019-04-30	1190	-0.011627906976744207
2019-05-31	1171	-0.015966386554621903
2019-06-30	1081	-0.07685738684884713
2019-07-31	1095	0.01295097132284928
2019-08-31	1430	0.30593607305936077
2019-09-30	1309	-0.08461538461538465
2019-10-31	1317	0.006111535523300127
2019-11-30	1273	-0.03340926347760065
2019-12-31	1229	-0.03456402199528674
2020-01-31	1213	-0.013018714401952791
2020-02-29	1227	0.01154163231657046
2020-03-31	1225	-0.0016299918500407573
2020-04-30	1242	0.013877551020408108
2020-05-31	1253	0.008856682769726287
2020-06-30	1265	0.009577015163607427
2020-07-31	1281	0.012648221343873445
2020-08-31	1284	0.0023419203747072626
2020-09-30	1285	7.788161993769194e-4
2020-10-31	1275	-0.0077821011673151474
2020-11-30	1286	0.008627450980392082
2020-12-31	1285	-7.776049766718973e-4
2021-01-31	1285	0
2021-02-28	1281	-0.003112840466926059
2021-03-31	1258	-0.01795472287275568
2021-04-30	1238	-0.015898251192368873
2021-05-31	1221	-0.013731825525040375
2021-06-30	1205	-0.013104013104013101
2021-07-31	1188	-0.014107883817427336
2021-08-31	1175	-0.01094276094276092
2021-09-30	1151	-0.020425531914893602
2021-10-31	1134	-0.01476976542137276
2021-11-30	1129	-0.0044091710758377145
2021-12-31	1114	-0.013286093888396855
2022-01-31	1103	-0.009874326750448859
2022-02-28	1086	-0.015412511332728918
2022-03-31	1062	-0.02209944751381221
